tx_id,pme_id,pme_nom,date,type,categorie,montant_devise_origine,devise_origine,montant_xof,taux_change_applique,mode_paiement,reference,justificatif,note
TX00001,PME001,Boutique Électronique Yaoundé,2025-07-01,recette,Prestation service,66326.12,XOF,66326.0,1.0,Mobile Money MTN,REF-98696,recu_photo,
TX00028,PME001,Boutique Électronique Yaoundé,2025-07-01,recette,Prestation service,65340.98,XOF,65341.0,1.0,Mobile Money MTN,REF-19305,recu_photo,
TX00037,PME001,Boutique Électronique Yaoundé,2025-07-01,recette,Subvention,103.18,EUR,67680.0,655.957,Virement bancaire,REF-65444,aucun,
TX00056,PME001,Boutique Électronique Yaoundé,2025-07-01,recette,Subvention,111632.49,XOF,111632.0,1.0,Mobile Money Orange,REF-44970,facture_pdf,
TX00395,PME002,Transport Express Douala,2025-07-01,recette,Remboursement,60334.53,XOF,60335.0,1.0,Chèque,REF-86089,facture_pdf,
TX00397,PME002,Transport Express Douala,2025-07-01,recette,Vente produit,63752.88,XOF,63753.0,1.0,Mobile Money MTN,REF-28569,capture_momo,
TX00448,PME002,Transport Express Douala,2025-07-01,depense,Loyer,25774.89,XOF,25775.0,1.0,Espèces,REF-76402,capture_momo,
TX00838,PME003,Consulting IT Cameroun,2025-07-01,recette,Subvention,76717.27,XOF,76717.0,1.0,Espèces,REF-75358,recu_photo,
TX00870,PME003,Consulting IT Cameroun,2025-07-01,depense,Salaires,296.79,EUR,194683.0,655.957,Mobile Money Orange,REF-81110,capture_momo,
TX00873,PME003,Consulting IT Cameroun,2025-07-01,depense,Salaires,230851.23,XOF,230851.0,1.0,Espèces,REF-17051,recu_photo,
TX00035,PME001,Boutique Électronique Yaoundé,2025-07-02,recette,Vente produit,86039.2,XOF,86039.0,1.0,Mobile Money MTN,REF-40982,facture_pdf,
TX00040,PME001,Boutique Électronique Yaoundé,2025-07-02,recette,Prestation service,84.37,EUR,55341.0,655.957,Mobile Money MTN,REF-87992,recu_photo,
TX00430,PME002,Transport Express Douala,2025-07-02,recette,Subvention,86491.42,XOF,86491.0,1.0,Mobile Money MTN,REF-26284,facture_pdf,
TX00452,PME002,Transport Express Douala,2025-07-02,depense,Salaires,154071.02,XOF,154071.0,1.0,Espèces,REF-90254,recu_photo,
TX00841,PME003,Consulting IT Cameroun,2025-07-02,recette,Commission,55812.3,XOF,55812.0,1.0,Mobile Money MTN,REF-29054,recu_photo,
TX00045,PME001,Boutique Électronique Yaoundé,2025-07-03,recette,Prestation service,83725.65,XOF,83726.0,1.0,Virement bancaire,REF-19016,facture_pdf,
TX00816,PME003,Consulting IT Cameroun,2025-07-03,recette,Vente produit,150130.17,XOF,150130.0,1.0,Mobile Money Orange,REF-51628,facture_pdf,
TX00831,PME003,Consulting IT Cameroun,2025-07-03,recette,Remboursement,61945.89,XOF,61946.0,1.0,Chèque,REF-27734,aucun,
TX00833,PME003,Consulting IT Cameroun,2025-07-03,recette,Prestation service,123014.62,XOF,123015.0,1.0,Mobile Money MTN,REF-21952,recu_photo,
TX00872,PME003,Consulting IT Cameroun,2025-07-03,depense,Frais bancaires,298507.31,XOF,298507.0,1.0,Espèces,REF-16648,facture,
TX00876,PME003,Consulting IT Cameroun,2025-07-03,depense,Maintenance,511.79,USD,307074.0,600.0,Mobile Money MTN,REF-69714,capture_momo,
TX00393,PME002,Transport Express Douala,2025-07-04,recette,Commission,80612.49,XOF,80612.0,1.0,Mobile Money Orange,REF-94803,recu_photo,
TX00399,PME002,Transport Express Douala,2025-07-04,recette,Commission,82435.53,XOF,82436.0,1.0,Mobile Money MTN,REF-49356,recu_photo,
TX00880,PME003,Consulting IT Cameroun,2025-07-04,depense,Stock/Achats,163973.3,XOF,163973.0,1.0,Virement bancaire,REF-55693,facture,
TX00005,PME001,Boutique Électronique Yaoundé,2025-07-05,recette,Vente produit,100899.61,XOF,100900.0,1.0,Mobile Money MTN,REF-59797,recu_photo,
TX00025,PME001,Boutique Électronique Yaoundé,2025-07-05,recette,Prestation service,113123.25,XOF,113123.0,1.0,Virement bancaire,REF-79163,aucun,
TX00034,PME001,Boutique Électronique Yaoundé,2025-07-05,recette,Prestation service,68569.68,XOF,68570.0,1.0,Mobile Money MTN,REF-68082,recu_photo,
TX00038,PME001,Boutique Électronique Yaoundé,2025-07-05,recette,Vente produit,64513.39,XOF,64513.0,1.0,Chèque,REF-81066,recu_photo,
TX00390,PME002,Transport Express Douala,2025-07-05,recette,Prestation service,61266.5,XOF,61267.0,1.0,Espèces,REF-59412,recu_photo,
TX00819,PME003,Consulting IT Cameroun,2025-07-05,recette,Remboursement,130480.57,XOF,130481.0,1.0,Chèque,REF-44978,facture_pdf,
